['প্রথম', 'দুই', 'দ্বিতীয়', 'চতুর্থ', 'তিনটি', 'তৃতীয়', 'তিন', 'দ্বিতীয়', 'সর্বশেষ', 'চার']
['প্রথম', 'দ্বিতীয়', 'চতুর্থ', 'তৃতীয়', 'তিন', 'পঞ্চম', 'সর্বশেষ', 'চার', 'তিনটি', 'শুরুতে']
['প্রথম', 'চার', 'দ্বিতীয়', 'চতুর্থ', 'সর্বশেষ', 'পঞ্চম', 'তৃতীয়', 'মাত্র', 'তিন', 'তিনটি']
['প্রথম', 'পাঁচ', 'দ্বিতীয়', 'সর্বশেষ', 'চতুর্থ', 'তৃতীয়', 'তন্মধ্যে', 'প্রথমবারের', 'পঞ্চম', 'টেস্ট']
['দ্বিতীয়', 'তৃতীয়', 'প্রথম', 'ছয়', 'তন্মধ্যে', '২য়', 'চতুর্থ', 'শ্রেণীর', 'দিওদোতোস', 'পেয়েছিলেন']
['প্রথম', 'দ্বিতীয়', 'সাত', 'চতুর্থ', 'তৃতীয়', 'শুরুতে', 'ছয়', 'পঞ্চম', '২য়', 'সর্বশেষ']
['প্রথম', 'আট', 'দ্বিতীয়', 'সর্বশেষ', 'দিওদোতোস', 'তন্মধ্যে', 'তৃতীয়', 'চতুর্থ', '২য়', 'টেস্টসহ']
['প্রথম', 'নয়', 'শুধু', 'এটা', 'সর্বশেষ', 'এবারই', 'সুযোগ', 'নিশ্চিত', 'সবার', 'এটিই']
['দ্বিতীয়', 'প্রথম', 'তৃতীয়', '২য়', 'দিওদোতোস', 'দশ', 'চতুর্থ', '৩য়', 'পূর্ববর্তী', 'পঞ্চম']
['দিওদোতোস', 'এগারো', 'শূরপাল', 'দেমেত্রিওসের', 'শূরপালের', 'বিগ্রহপালের', 'আন্তিমাখোস', 'নরসিংহবর্মণের', 'বিশ্বযুদ্ধর', 'টেস্টসহ']
['দিওদোতোস', 'বারো', 'বিগ্রহপালের', 'শূরপাল', 'নরসিংহবর্মণের', 'শূরপালের', 'দেমেত্রিওসের', 'স্ত্রাতোন', 'ভুঁইয়াদের', 'মহীপালের']
['দিওদোতোস', 'সর্গ', 'বিগ্রহপালের', 'তেরো', 'শূরপালের', 'নরসিংহবর্মণের', 'আন্তিমাখোস', 'বিশ্বযুদ্ধর', 'ইউথুদেমোস', 'স্ত্রাতোন']
['দিওদোতোস', 'বিশ্বযুদ্ধর', 'বিগ্রহপালের', 'নরসিংহবর্মণের', 'দেমেত্রিওসের', 'আন্তিমাখোস', 'শূরপালের', 'শূরপাল', 'টেস্টসহ', 'আমুনতাস']
['দিওদোতোস', 'নরসিংহবর্মণের', 'শূরপাল', 'পনেরো', 'আন্তিমাখোস', 'শূরপালের', 'বিশ্বযুদ্ধর', 'সহস্রাব্দে', 'বিগ্রহপালের', 'সর্গ']
['দিওদোতোস', 'বিগ্রহপালের', 'শূরপাল', 'সর্গ', 'শতকেই', 'নরসিংহবর্মণের', 'পর্যায়টি', 'শূরপালের', 'আন্তিমাখোস', 'ইউথুদেমোস']
['সতেরো', 'দিওদোতোস', 'সর্গ', 'ফিতনা', 'বিগ্রহপালের', 'শূরপাল', '১৩শ', '১২শ', 'কুমারগুপ্তের', 'শতকেই']
['আঠারো', 'দিওদোতোস', 'শূরপাল', 'সহস্রাব্দে', 'দেমেত্রিওসের', 'বিগ্রহপালের', 'শতকেই', 'প্রথমার্ধ্বে', 'শুরুরদিকে', 'থ্রাক্স']
['উনিশ', 'একবিংশ', 'শতকে', 'বিংশ', 'ঊনবিংশ', 'অষ্টাদশ', 'শেষভাগে', '১৯শ', '২০শ', 'শতকেই']
['বিশ', 'একবিংশ', 'দিওদোতোস', 'সহস্রাব্দের', '৮ম', 'সহস্রাব্দে', 'উনিশ', 'শতকেই', '২য়', 'প্রথমার্ধ্বে']
['দ্বিতীয়', 'তৃতীয়', 'এক', 'চতুর্থ', 'পঞ্চম', 'আগের', 'ষষ্ঠ', 'অষ্টম', 'বলেই', 'পরশু']
['দ্বিতীয়', 'তৃতীয়', 'চতুর্থ', 'পঞ্চম', 'আগের', 'পরের', 'ষষ্ঠ', 'ইনিংসেও', 'অষ্টম', 'টানা']
['দ্বিতীয়', 'তৃতীয়', 'চতুর্থ', 'ইনিংসেও', 'পঞ্চম', 'চার', 'ওভারেই', 'পরের', 'টানা', 'ষষ্ঠ']
['দ্বিতীয়', 'চতুর্থ', 'তৃতীয়', 'পঞ্চম', '১৩তম', '১১তম', 'ইনিংসেও', 'পাঁচ', 'অষ্টম', 'ওয়ানডেতে']
['ইনিংসেও', 'বিশ্বযুদ্ধোত্তর', 'চতুর্থ', 'বিশ্বযুদ্ধর', 'পঞ্চম', 'বিশ্বযুদ্ধকালে', '১৮তম', 'অষ্টম', 'ত্রৈমাসিকে', 'সর্গ']
['দ্বিতীয়', 'চতুর্থ', 'বিশ্বযুদ্ধোত্তর', 'পঞ্চম', 'তৃতীয়', 'ইনিংসেও', '১১তম', 'সর্গ', '১৮তম', '১৩তম']
['দ্বিতীয়', 'ইনিংসেও', 'সেশনেই', 'বিশ্বযুদ্ধোত্তর', '১৩তম', '১১তম', 'চতুর্থ', 'কর্মদিবসে', 'সর্গ', 'বর্ষপূর্তিতে']
['নয়', 'দ্বিতীয়', 'বলেই', 'সেটিও', 'সেটি', 'ডিগ্রিধারীকে', 'হয়তো', 'পরশু', 'শঙ্কা', 'শুরুটা']
['বিশ্বযুদ্ধোত্তর', 'ইনিংসেও', '১৮তম', '১২তম', '১১তম', '১৩তম', 'দ্বিতীয়', '১৭তম', 'চতুর্থ', '২০তম']
['বিশ্বযুদ্ধোত্তর', 'বিশ্বযুদ্ধর', 'ইনিংসেও', 'বিশ্বযুদ্ধকালে', 'সর্গ', 'অয়', 'ইয়াজদিগার্দ', 'আন্তিমাখোস', 'সেশনেই', 'তফসিলটি']
['দ্জিনপাকে', 'বিশ্বযুদ্ধোত্তর', 'বিশ্বযুদ্ধকালে', 'সর্গ', 'মহীপালের', 'বিশ্বযুদ্ধর', 'ইয়াজদিগার্দ', 'বিগ্রহপালের', 'সূর্যবর্মণ', 'আমুনতাস']
['সর্গ', 'দ্জিনপাকে', 'বিশ্বযুদ্ধকালে', 'বিশ্বযুদ্ধোত্তর', 'ইয়াজদিগার্দ', 'বিশ্বযুদ্ধর', 'আকাবার', 'নাগভট্ট', 'ইনিংসেও', 'দিওদোতোস']
['বিশ্বযুদ্ধোত্তর', 'দ্জিনপাকে', 'বিশ্বযুদ্ধর', 'শ্রেণীসহ', '৬৭তম', 'ইনিংসেও', 'বিশ্বযুদ্ধকালে', 'খ্রীস্টিয়', 'আমুনতাস', 'এশিয়াডের']
['বিশ্বযুদ্ধোত্তর', 'ইনিংসেও', 'দ্জিনপাকে', '৬৭তম', 'বিশ্বযুদ্ধর', 'স্পেলের', 'আকাবার', 'শ্রেণীসহ', 'সর্গ', 'বিশ্বযুদ্ধকালে']
['দ্জিনপাকে', '৬৭তম', '১৩তম', '৫০তম', '৩১তম', 'বিশ্বযুদ্ধোত্তর', 'বিশ্বযুদ্ধকালে', '১৮তম', 'ষোল', '২১তম']
